Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
1,RELIANCE,Reliance Industries Limited,157706938
2,TCS,Tata Consultancy Services Limited,117305528
3,HDFCBANK,HDFC Bank Limited,89808750
4,ICICIBANK,ICICI Bank Limited,61248250
5,HINDUNILVR,Hindustan Unilever Limited,60157760
6,INFY,Infosys Limited,59239363
7,HDFC,Housing Development Finance Corporation Limited,48048335
8,ITC,ITC Limited,47632201
9,SBIN,State Bank of India,46742655
10,BHARTIARTL,Bharti Airtel Limited,41757759
11,KOTAKBANK,Kotak Mahindra Bank Limited,34423149
12,BAJFINANCE,Bajaj Finance Limited,34005446
13,LICI,Life Insurance Corporation Of India,33797625
14,LT,Larsen & Toubro Limited,30416456
15,HCLTECH,HCL Technologies Limited,29450050
16,ASIANPAINT,Asian Paints Limited,26489686
17,AXISBANK,Axis Bank Limited,26412100
18,MARUTI,Maruti Suzuki India Limited,25048932
19,SUNPHARMA,Sun Pharmaceutical Industries Limited,23587862
20,TITAN,Titan Company Limited,22326934
21,DMART,Avenue Supermarts Limited,22031141
22,ULTRACEMCO,UltraTech Cement Limited,22003820
23,BAJAJFINSV,Bajaj Finserv Limited,20173008
24,WIPRO,Wipro Limited,20044620
25,ADANIENT,Adani Enterprises Limited,19955150
26,ONGC,Oil & Natural Gas Corporation Limited,19002512
27,NTPC,NTPC Limited,16978862
28,JSWSTEEL,JSW Steel Limited,16632894
29,POWERGRID,Power Grid Corporation of India Limited,15743597
30,M&M,Mahindra & Mahindra Limited,14408769
31,LTIM,LTIMindtree Limited,14079903
32,TATAMOTORS,Tata Motors Limited,13976217
33,ADANIGREEN,Adani Green Energy Limited,13957702
34,ADANIPORTS,Adani Ports and Special Economic Zone Limited,13649918
35,COALINDIA,Coal India Limited,13166669
36,TATASTEEL,Tata Steel Limited,12771502
37,HINDZINC,Hindustan Zinc Limited,12394973
38,PIDILITIND,Pidilite Industries Limited,11960634
39,SIEMENS,Siemens Limited,11848655
40,ADANITRANS,Adani Transmission Limited,11077400
41,SBILIFE,SBI Life Insurance Company Limited,11020676
42,IOC,Indian Oil Corporation Limited,11000445
43,BAJAJ-AUTO,Bajaj Auto Limited,10992186
44,GRASIM,Grasim Industries Limited,10750221
45,TECHM,Tech Mahindra Limited,10733644
46,HDFCLIFE,HDFC Life Insurance Company Limited,10729624
